budget,genres,id,keywords,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,imdbId,ML-100k-convertId,ML-latestId
200000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",597,"[{""id"": 2580, ""name"": ""shipwreck""}, {""id"": 2984, ""name"": ""iceberg""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 4210, ""name"": ""panic""}, {""id"": 4388, ""name"": ""titanic""}, {""id"": 4953, ""name"": ""ocean liner""}, {""id"": 6917, ""name"": ""epic""}, {""id"": 7579, ""name"": ""rich woman - poor man""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 10703, ""name"": ""tragic love""}, {""id"": 14514, ""name"": ""class differences""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 165086, ""name"": ""star crossed lovers""}, {""id"": 182615, ""name"": ""steerage""}, {""id"": 182621, ""name"": ""salvage""}, {""id"": 182625, ""name"": ""rich snob""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 210184, ""name"": ""1910s""}]",en,100.025899,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-11-18,1845034188,194.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Titanic,7.5,7562,120338,313,1721
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",9804,"[{""id"": 270, ""name"": ""ocean""}, {""id"": 331, ""name"": ""tattoo""}, {""id"": 1852, ""name"": ""mutant""}, {""id"": 4237, ""name"": ""water""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 34161, ""name"": ""doomsday""}]",en,44.640291999999995,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Gordon Company"", ""id"": 1073}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Licht/Mueller Film Corporation"", ""id"": 6092}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995-07-28,264218220,135.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Waterworld,5.9,992,114898,554,208
125000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}]",415,"[{""id"": 848, ""name"": ""double life""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 851, ""name"": ""dual identity""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 855, ""name"": ""fictional place""}, {""id"": 6969, ""name"": ""gotham city""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 10452, ""name"": ""credit card""}, {""id"": 163455, ""name"": ""super powers""}]",en,50.073575,"[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-06-20,238207122,125.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Batman & Robin,4.2,1418,118688,254,1562
116000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",9619,"[{""id"": 720, ""name"": ""helicopter""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 1919, ""name"": ""mayor""}, {""id"": 2227, ""name"": ""evacuation""}, {""id"": 2669, ""name"": ""motel""}, {""id"": 2859, ""name"": ""lava""}, {""id"": 3347, ""name"": ""volcano""}, {""id"": 3623, ""name"": ""cabin""}, {""id"": 4663, ""name"": ""lovers""}, {""id"": 5096, ""name"": ""natural disaster""}, {""id"": 6281, ""name"": ""partnership""}, {""id"": 7051, ""name"": ""volcanologist""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14760, ""name"": ""scientist""}, {""id"": 158272, ""name"": ""seismograph""}, {""id"": 163398, ""name"": ""volcanic eruption""}, {""id"": 164658, ""name"": ""rowboat""}, {""id"": 188351, ""name"": ""catastrophe""}, {""id"": 208580, ""name"": ""acid""}, {""id"": 211215, ""name"": ""county fair""}, {""id"": 215861, ""name"": ""abandoned mine""}, {""id"": 220844, ""name"": ""volcanic ash""}]",en,16.90444,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Pacific Western"", ""id"": 1280}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-02-07,178127760,108.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Dante's Peak,5.7,428,118928,323,1438
110000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",714,"[{""id"": 212, ""name"": ""london england""}, {""id"": 392, ""name"": ""england""}, {""id"": 470, ""name"": ""spy""}, {""id"": 478, ""name"": ""china""}, {""id"": 1774, ""name"": ""news broadcast""}, {""id"": 2051, ""name"": ""intelligence""}, {""id"": 2136, ""name"": ""television""}, {""id"": 2534, ""name"": ""missile""}, {""id"": 2954, ""name"": ""manipulation of the media""}, {""id"": 3272, ""name"": ""secret intelligence service""}, {""id"": 3531, ""name"": ""special car""}, {""id"": 3586, ""name"": ""tv station""}, {""id"": 3587, ""name"": ""media tycoon""}, {""id"": 3588, ""name"": ""navy""}, {""id"": 14735, ""name"": ""motorcycle""}, {""id"": 41249, ""name"": ""secret service""}, {""id"": 164713, ""name"": ""hamburg germany""}]",en,42.887121,"[{""name"": ""Eon Productions"", ""id"": 7576}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-12-11,333011068,119.0,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""da"", ""name"": ""Dansk""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}]",Tomorrow Never Dies,6.0,925,120347,751,1722
160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",1639,"[{""id"": 1422, ""name"": ""boat""}, {""id"": 2799, ""name"": ""cruise""}, {""id"": 6104, ""name"": ""computer""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 33461, ""name"": ""diamond""}, {""id"": 228194, ""name"": ""collision course""}]",en,23.336875,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Blue Tulip Productions"", ""id"": 35304}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-06-13,164508066,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Speed 2: Cruise Control,4.1,434,120179,1089,1556
100000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",280,"[{""id"": 679, ""name"": ""cyborg""}, {""id"": 1366, ""name"": ""shotgun""}, {""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 11426, ""name"": ""moral ambiguity""}, {""id"": 11857, ""name"": ""mental institution""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 14946, ""name"": ""fictional war""}, {""id"": 160131, ""name"": ""morphing""}, {""id"": 160381, ""name"": ""nuclear weapons""}, {""id"": 162532, ""name"": ""shape shifter""}, {""id"": 175468, ""name"": ""savior""}, {""id"": 175472, ""name"": ""catch phrase""}]",en,101.74155,"[{""name"": ""Lightstorm Entertainment"", ""id"": 574}, {""name"": ""Pacific Western"", ""id"": 1280}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Carolco Pictures"", ""id"": 14723}, {""name"": ""T2 Productions"", ""id"": 61409}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1991-07-01,520000000,137.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Terminator 2: Judgment Day,7.7,4185,103064,96,589
115000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",36955,"[{""id"": 470, ""name"": ""spy""}, {""id"": 949, ""name"": ""terrorist""}, {""id"": 1196, ""name"": ""florida""}, {""id"": 1419, ""name"": ""gun""}, {""id"": 1930, ""name"": ""kidnapping""}, {""id"": 2284, ""name"": ""horseback riding""}, {""id"": 3546, ""name"": ""florida keys""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 161520, ""name"": ""terrorist plot""}, {""id"": 167444, ""name"": ""top secret""}, {""id"": 167451, ""name"": ""woman with glasses""}, {""id"": 167455, ""name"": ""hit with a telephone""}, {""id"": 167461, ""name"": ""truth serum""}, {""id"": 167466, ""name"": ""mushroom cloud""}, {""id"": 167467, ""name"": ""jackhammer""}, {""id"": 217421, ""name"": ""key west""}]",en,38.729418,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-07-14,378882411,141.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",True Lies,6.8,1116,111503,385,380
100000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",9268,"[{""id"": 236, ""name"": ""suicide""}, {""id"": 502, ""name"": ""ambush""}, {""id"": 797, ""name"": ""showdown""}, {""id"": 1562, ""name"": ""hostage""}, {""id"": 2052, ""name"": ""traitor""}, {""id"": 2547, ""name"": ""new identity""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 3581, ""name"": ""witness""}, {""id"": 4009, ""name"": ""witness protection""}, {""id"": 6163, ""name"": ""arms dealer""}, {""id"": 9758, ""name"": ""deception""}, {""id"": 10085, ""name"": ""betrayal""}, {""id"": 10202, ""name"": ""treason""}, {""id"": 10410, ""name"": ""conspiracy""}, {""id"": 11207, ""name"": ""u.s. marshal""}, {""id"": 12371, ""name"": ""gunfight""}, {""id"": 13008, ""name"": ""train""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 15246, ""name"": ""sabotage""}, {""id"": 156334, ""name"": ""corporate crime""}, {""id"": 176802, ""name"": ""rogue agent""}, {""id"": 191600, ""name"": ""assassination attempt""}, {""id"": 228607, ""name"": ""x-ray vision""}, {""id"": 228610, ""name"": ""railgun""}]",en,24.507987,"[{""name"": ""Kopelson Entertainment"", ""id"": 824}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-06-21,242295562,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Eraser,5.6,543,116213,597,786
100000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10545,"[{""id"": 90, ""name"": ""paris""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 934, ""name"": ""judge""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 1691, ""name"": ""dance""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 2422, ""name"": ""mockery""}, {""id"": 2544, ""name"": ""ugliness""}, {""id"": 2638, ""name"": ""cathedral""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 5090, ""name"": ""fool""}, {""id"": 9995, ""name"": ""bell""}, {""id"": 11001, ""name"": ""religion""}, {""id"": 13014, ""name"": ""orphan""}, {""id"": 158787, ""name"": ""army captain""}, {""id"": 160213, ""name"": ""festival""}, {""id"": 160274, ""name"": ""angry mob""}, {""id"": 177894, ""name"": ""witch hunt""}, {""id"": 213097, ""name"": ""15th century""}]",en,46.727940999999994,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-06-21,100138851,91.0,"[{""iso_639_1"": ""la"", ""name"": ""Latin""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",The Hunchback of Notre Dame,6.8,1129,116583,596,783
